NAME,x,y
Canca Limestone Fynbos,21.70172515,-34.29380837
Canca Limestone Fynbos,21.51838815,-34.31047537
Canca Limestone Fynbos,21.06837915,-34.31047537
Canca Limestone Fynbos,21.08504615,-34.31047537
Canca Limestone Fynbos,21.75172615,-34.32714237
Canca Limestone Fynbos,21.11838015,-34.32714237
Canca Limestone Fynbos,21.43505315,-34.26047437
Canca Limestone Fynbos,21.25171615,-34.29380837
Canca Limestone Fynbos,20.93504315,-34.31047537
Canca Limestone Fynbos,21.58505615,-34.27714137
Canca Limestone Fynbos,21.20171515,-34.34380937
Canca Limestone Fynbos,21.21838215,-34.34380937
Canca Limestone Fynbos,20.86837515,-34.34380937
