"","","<500m","500m - 2000m","501-2000m","A","A.Galley","B","B.Galley","GPS"
"RhodoFolio",0,3,1,3,0,0,0,0,2
"RhodoFruti",0,10,3,57,0,0,0,3,3
"RhodoGigan",0,1,1,27,0,0,0,2,1
"RhodoGraci",0,1,1,4,0,0,0,0,1
"RhodoVleib",0,0,0,1,0,0,0,0,0
"SatyrAcumi",0,8,0,27,0,0,0,0,1
"SatyrBical",0,10,0,32,0,0,0,0,0
"SatyrBicor",0,13,0,51,0,0,0,0,3
"SatyrBract",0,15,0,38,0,0,0,0,0
"SatyrCandi",0,0,0,6,0,0,0,0,0
"SatyrCarne",0,3,0,23,0,0,0,0,1
"SatyrCorii",0,15,0,40,0,0,0,0,5
"SatyrErect",0,16,0,34,0,0,0,0,6
"SatyrHallO",0,0,0,2,0,0,0,0,0
"SatyrHumil",0,14,0,44,0,0,0,0,2
"SatyrLclle",0,3,0,20,0,0,0,0,0
"SatyrLigul",0,9,0,28,0,0,0,0,0
"SatyrLupul",0,2,0,22,0,0,0,0,0
"SatyrMembr",0,1,0,8,0,0,0,0,0
"SatyrMutic",0,2,0,0,0,0,0,0,0
"SatyrOdoru",0,10,0,30,0,0,0,0,5
"SatyrOuten",0,0,0,4,0,0,0,0,0
"SatyrPalle",0,0,0,2,0,0,0,0,0
"SatyrParvi",0,2,0,5,0,0,0,0,0
"SatyrPrinc",0,4,0,2,0,0,0,0,0
"SatyrPumil",0,6,0,8,0,0,0,0,3
"SatyrPygma",0,2,0,8,0,0,0,0,1
"SatyrRetus",0,1,0,22,0,0,0,0,0
"SatyrRhync",0,4,0,17,0,0,0,0,6
"SatyrRupes",0,2,0,2,0,0,0,0,0
"SatyrStenB",0,8,0,33,0,0,0,0,2
"SatyrStenS",0,2,0,15,0,0,0,0,0
"SchisBarba",0,3,0,5,0,0,0,0,0
"SchisInerm",0,1,1,7,0,0,0,0,0
"SchisScabe",0,1,0,2,0,0,0,0,0
"StoebAethi",52,0,0,0,10,0,2,0,0
"StoebAlope",18,0,0,0,5,0,3,0,0
"StoebBruni",1,0,0,0,1,0,4,0,0
"StoebBurch",1,0,0,0,6,0,3,0,0
"StoebCapit",51,0,0,0,7,0,5,0,0
"StoebCiner",22,0,0,0,3,0,5,0,0
"StoebCopho",1,0,0,0,0,0,0,0,0
"StoebCyath",14,0,0,0,0,0,0,0,0
"StoebEnsor",0,0,0,0,2,0,0,0,0
"StoebFusca",38,0,0,0,4,0,4,0,0
"StoebGomph",3,0,0,0,0,0,0,0,0
"StoebHumil",1,0,0,0,1,0,0,0,0
"StoebIncan",11,0,0,0,3,0,6,0,0
"StoebIntri",5,0,0,0,3,0,2,0,0
"StoebLeuco",9,0,0,0,0,0,0,0,0
"StoebMicro",9,0,0,0,0,0,0,0,0
"StoebMonta",1,0,0,0,2,0,1,0,0
"StoebMuiri",7,0,0,0,0,0,0,0,0
"StoebNervi",12,0,0,0,1,0,0,0,0
"StoebPhyll",5,0,0,0,0,0,1,0,0
"StoebPlumo",65,0,0,0,15,0,15,0,0
"StoebProst",12,0,0,0,0,0,3,0,0
"StoebRosea",4,0,0,0,1,0,3,0,0
"StoebRugul",5,0,0,0,1,0,0,0,0
"StoebSalte",1,0,0,0,1,0,0,0,0
"StoebSaxat",11,0,0,0,1,0,2,0,0
"StoebSchul",6,0,0,0,0,0,0,0,0
"StoebSphae",9,0,0,0,1,0,7,0,0
"StoebSpira",56,0,0,0,4,0,3,0,0
"TetraBromo",0,0,0,0,30,0,25,0,0
"TetraBurma",0,0,0,0,4,0,6,0,0
"TetraCapil",0,0,0,0,18,0,18,0,0
"TetraCompr",0,0,0,0,3,0,2,0,0
"TetraCrini",0,0,0,0,13,0,9,0,0
"TetraEximi",0,0,0,0,4,0,3,0,0
"TetraEximL ",0,0,0,0,4,0,0,0,0
"TetraEximT ",0,0,0,0,0,0,1,0,0
"TetraFasci",0,0,0,0,12,0,20,0,0
"TetraFerru",0,0,0,0,6,0,5,0,0
"TetraFimbr",0,0,0,0,26,0,14,0,0
"TetraFlexH ",0,0,0,0,2,0,4,0,0
"TetraFlexu",0,0,0,0,19,0,23,0,0
"TetraFourc",0,0,0,0,7,0,2,0,0
"TetraInvol",0,0,0,0,23,0,20,0,0
"TetraMacul",0,0,0,0,6,0,11,0,0
"TetraMicrL",0,0,0,0,13,0,15,0,0
"TetraMicrS",0,0,0,0,5,0,5,0,0
"TetraNigro",0,0,0,0,9,0,15,0,0
"TetraPleio",0,0,0,0,9,0,8,0,0
"TetraPubes",0,0,0,0,3,0,4,0,0
"TetraPygma",0,0,0,0,4,0,2,0,0
"TetraSecan",0,0,0,0,3,0,3,0,0
"TetraSpira",0,0,0,0,5,0,4,0,0
"TetraSpnv5",0,0,0,0,0,0,1,0,0
"TetraSpnvA",0,0,0,0,10,0,5,0,0
"TetraSpnvP",0,0,0,0,1,0,2,0,0
"TetraTherm",0,0,0,0,1,0,0,0,0
"TetraTrian",0,0,0,0,7,0,8,0,0
"TetraTriBk",0,0,0,0,1,0,0,0,0
"TetraTriBl",0,0,0,0,1,0,0,0,0
"TetraTriRd",0,0,0,0,1,0,0,0,0
"TetraTriYo",0,0,0,0,12,0,8,0,0
"TetraUstul",0,0,0,0,31,0,37,0,0
"TetraVagin",0,0,0,0,0,0,1,0,0
"TetraWalli",0,0,0,0,1,0,2,0,0
"ThamnAcumi",0,1,0,13,0,0,0,0,1
"ThamnArena",0,0,0,2,0,0,0,0,1
"ThamnBachm",0,1,0,2,0,0,0,0,4
"ThamnCiner",0,4,0,32,0,0,0,0,2
"ThamnDumos",0,3,0,9,0,0,0,0,1
"ThamnErect",0,6,0,21,0,0,0,0,0
"ThamnFrate",0,2,0,8,0,0,0,0,3
"ThamnFruti",0,3,0,23,0,0,0,0,1
"ThamnGlabe",0,0,0,4,0,0,0,0,0
"ThamnGraci",0,1,0,18,0,0,0,0,1
"ThamnGuthr",0,3,0,20,0,0,0,0,1
"ThamnInsig",0,3,0,24,0,0,0,0,3
"ThamnKaroo",0,0,0,0,0,0,0,0,1
"ThamnLevyn",0,2,0,3,0,0,0,0,3
"ThamnLucen",0,14,0,36,0,0,0,0,2
"ThamnMuiri",0,0,0,9,0,0,0,0,1
"ThamnNutan",0,1,0,5,0,0,0,0,1
"ThamnObtus",0,2,0,5,0,0,0,0,1
"ThamnPanic",0,4,0,14,0,0,0,0,1
"ThamnPapyr",0,0,0,1,0,0,0,0,1
"ThamnPellu",0,1,0,5,0,0,0,0,1
"ThamnPlaty",0,2,0,10,0,0,0,0,1
"ThamnPluri",0,2,0,10,0,0,0,0,1
"ThamnPulch",0,1,0,4,0,0,0,0,2
"ThamnPunct",0,4,0,9,0,0,0,0,2
"ThamnRigid",0,2,0,9,0,0,0,0,1
"ThamnSchle",0,1,0,5,0,0,0,0,5
"ThamnSpici",0,1,0,5,0,0,0,0,2
"ThamnSpora",0,3,0,14,0,0,0,0,2
"ThamnStoko",0,4,0,4,0,0,0,0,1
"TriboAcuti",0,7,1,9,0,0,0,0,0
"TriboAlter",0,5,0,14,0,0,0,0,0
"TriboAmple",0,1,0,2,0,0,0,0,0
"TriboBrach",0,2,0,10,0,0,0,0,0
"TriboCilia",0,0,0,5,0,0,0,0,0
"TriboCompo",0,2,0,3,0,0,0,0,0
"TriboEchin",0,12,0,41,0,0,0,1,0
"TriboHispi",0,37,1,81,0,0,0,5,0
"TriboOblit",0,7,0,22,0,0,0,0,0
