Barcode,Family,Scientific_Name,Latitude_Decimal,Longitude_Decimal,Collector,Collectors_Number,Collection_Date,CollectionDay,CollectionMonth,CollectionYear,Voucher,Locality,Habitat_Comments,AltitudeFrom,AltitudeMax,AltitudeUnits,District,Province,Grid,Reference_Accuracy,Latitude_Decimal2,Latitude,txtLatitudeMinutes,txtLatitudeSeconds,Direction,Longitude_Decimal2,Longitude,txtLongitudeMinutes,txtLongitudeSeconds,LogitudeDirection,Herb_Number,Type,PRECI_Number,Det,Source_File,Date_Captured
8001894,Asteraceae,Arctotheca calendula (L.) Levyns ,-33.569481,18.326144,Mauve A.A.,4541,,18,9,1967,Vera,HOPEFIELD DIV.; BOKBAAI; ABOVE BEACH,,0,0,,Malmesbury,WC,3318CB,501-2000m,-33.569481,33,34,10,S,18.326144,18,19,34,E,,FALSE,PRE0216959-0,,,
8001824,Asteraceae,Arctotheca calendula (L.) Levyns ,-33.906041,24.146301,Acocks J.P.H.,20045,,18,11,1958,Vera,HUMANSDORP DIV.; KAREEDOUW; 9.3 MI. W. BY N. OF KARREEDOUW,,0,0,,Humansdorp,EC,3324CC,<500m,-33.906041,33,54,22,S,24.146301,24,8,47,E,,FALSE,PRE0216962-0,,,
8001910,Asteraceae,Arctotheca calendula (L.) Levyns ,-34.166363,24.65479,Phillips E.P.,3430,,27,11,1921,Vera,HUMANSDORP DIV.; SLANG RIVER,,0,0,,HUMANSDORP,EC,3424BA,501-2000m,-34.166363,34,9,59,S,24.65479,24,39,17,E,,FALSE,PRE0215468-0,,,
8001846,Asteraceae,Arctotheca calendula (L.) Levyns ,-33.492916,22.651579,Dahlstrand K.Å.,2073,,30,5,1971,Vera,KAMMANASSIE MTS.; DE RUST; AANGENAAM FARM ON SLOPES OF MT.,N aspect,0,0,,Oudtshoorn,WC,3322BC,501-2000m,-33.492916,33,29,34,S,22.651579,22,39,6,E,,FALSE,PRE0216928-0,,,
8001863,Asteraceae,Arctotheca calendula (L.) Levyns ,0,,Heinecken T.J.E.,K53,,,,1968,Vera,KEURBOOMS RIVER,[Long river course],0,0,,Knysna,WC,3423,,0,,,,S,,,,,E,,FALSE,PRE0215491-0,,,
8001913,Asteraceae,Arctotheca calendula (L.) Levyns ,-31.775052,18.621663,Roberts  & Adendorff ,  TRV 1767B,,,11,1917,Vera,KLAVER,,0,0,,VAN RHYNSDORP,WC,3118DC,2001-5000m,-31.775052,31,46,30,S,18.621663,18,37,18,E,,FALSE,PRE0215460-0,,,
8001914,Asteraceae,Arctotheca calendula (L.) Levyns ,-31.775052,18.621663,Roberts  & Adendorff ,  TRV 1767B,,,11,1917,Vera,KLAVER,,0,0,,VAN RHYNSDORP,WC,3118DC,2001-5000m,-31.775052,31,46,30,S,18.621663,18,37,18,E,,FALSE,PRE0215460-0,,,
8001836,Asteraceae,Arctotheca calendula (L.) Levyns ,-34.034512,23.055555,Breijer H.G., TRV 23644,,,3,1921,Vera,KNYSNA,,0,0,,KNYSNA,WC,3423AA,5001-10000m,-34.034512,34,2,4,S,23.055555,23,3,20,E,,FALSE,PRE0216972-0,,,
8001933,Asteraceae,Arctotheca calendula (L.) Levyns ,-34.003611,23.458858,Theron G.C.,2088,,29,9,1956,Vera,KNYSNA DIV.; KEURBOOMS STRAND,,0,0,,KNYSNA,WC,3423AB,501-2000m,-34.003611,34,0,13,S,23.458858,23,27,32,E,,FALSE,PRE0215485-0,,,
8001902,Asteraceae,Arctotheca calendula (L.) Levyns ,-33.7463,23.769971,Oelofsen O.N.,216,,23,10,1987,Vera,Kougaberge: Capelskloof van plaas Springhaas en Capell.,,470,0,m,Joubertina,EC,3323DB,2001-5000m,-33.7463,33,44,47,S,23.769971,23,46,12,E,,FALSE,PRE0569684-0,,,
8001903,Asteraceae,Arctotheca calendula (L.) Levyns ,-33.713064,23.786978,Oelofsen O.N.,237,,19,9,1988,Vera,Kougaberge; Boplaas van plaas Hoeree.,Det: J. Vlok Conf: E. Retief 1994,0,0,,Joubertina,EC,3323DB,2001-5000m,-33.713064,33,42,47,S,23.786978,23,47,13,E,,FALSE,PRE0796551-0,,,
