"","Species","Lon","Lat"
"143","CorycCarno",20.45911,-33.977696
"144","CorycCarno",20.707413,-33.975115
"145","CorycCarno",18.411876,-33.967958
"146","CorycCarno",21.229767,-33.958466
"147","CorycCarno",21.19888889,-33.95805556
"148","CorycCarno",21.167378,-33.957909
"149","CorycCarno",20.846245,-33.956009
"150","CorycCarno",20.855644,-33.927472
"151","CorycCarno",19.081196,-33.76211
"152","CorycCarno",19.147923,-33.655622
"153","CorycCarno",19.120629,-33.602487
"154","CorycCarno",22.24305556,-33.32777778
"155","DispaErico",20.67,-34.41
"156","DispaErico",20.58,-34.37
"157","DispaErico",19.28,-34.33
"158","DispaErico",18.95,-34.31
"159","DispaErico",18.99,-34.26
"160","DispaErico",19.15,-34.23
"161","DispaErico",19.92,-34.03
"162","DispaErico",19.51,-33.97
"163","DispaErico",19.15,-33.91
"164","DispaErico",20.15,-33.64
"165","DispaErico",19.1,-33.62
"166","DispaErico",18.4,-33.6
"167","DispaErico",19.57,-33.57
"168","DispaErico",19.6,-33.56
"169","DispaErico",19.47,-33.55
"170","DispaErico",18.36,-33.54
"171","DispaErico",19.72,-33.3
"172","DispeCapeC",19.224084,-34.338604
"173","DispeCapeC",19.409936,-34.313562
"174","DispeCapeC",21.234335,-34.303451
"175","DispeCapeC",19.170534,-34.214387
"176","DispeCapeC",18.994754,-34.039264
"177","DispeCapeC",19.013498,-34.011053
"178","DispeCapeC",18.972522,-33.991556
"179","DispeCapeC",18.978708,-33.98908
"180","DispeCapeC",18.97522,-33.982341
"181","DispeCapeC",20.474046,-33.982143
"182","DispeCapeC",18.975467,-33.982015
"183","DispeCapeC",20.830575,-33.980374
"184","DispeCapeC",21.219441,-33.967194
"185","DispeCapeC",18.439226,-33.954158
"186","DispeCapeC",20.855125,-33.931349
"187","DispeCapeC",18.91709,-33.92812
"188","DispeCapeC",25.194262,-33.902062
"189","DispeCapeC",19.15833333,-33.88333333
"190","DispeCapeC",23.053505,-33.720933
"191","DispeCapeC",20.534691,-33.27344
"192","DispeCapeC",18.774587,-31.778989
"193","DispeCapeC",18.798083,-31.688688
"194","EhrhaCalyc",20.408387,-34.416728
"195","EhrhaCalyc",21.041752,-34.326121
"196","EhrhaCalyc",18.994395,-34.279446
"197","EhrhaCalyc",18.92885,-34.147536
"198","EhrhaCalyc",18.972981,-33.991472
